id,honorific,salutation,surname,firstName,otherName,preferredName,initials,gender,dateOfBirth
urn:aph.gov.au:senators:NIGELSCULLION,Senator,,Scullion,Nigel,Gregory,,,Male,1956-05-05
urn:aph.gov.au:senators:PENNYWONG,Senator,,Wong,Penny,,,,Female,1968-11-05
urn:aph.gov.au:senators:SCOTTRYAN,Senator,,Ryan,Scott,Michael,,,Male,1973-05-12
urn:aph.gov.au:senators:SIMONBIRMINGHAM,Senator,,Birmingham,Simon,John,,,Male,1974-06-14
urn:aph.gov.au:senators:JACQUILAMBIE,Senator,,Lambie,Jacqui,,,,Female,1973-02-26
urn:aph.gov.au:senators:JAMESPATERSON,Senator,,Paterson,James,William,,,Male,1987-11-11
urn:aph.gov.au:senators:JANETRICE,Senator,,Rice,Janet,,,,Female,1960-11-18
urn:aph.gov.au:senators:JENNIFERMCALLISTER,Senator,,McAllister,Jennifer,Ryll,,,Female,1973-07-04
urn:aph.gov.au:senators:JOHNWILLIAMS,Senator,,Williams,John,Reginald,,,Male,1955-01-16
urn:aph.gov.au:senators:JONATHANDUNIAM,Senator,,Duniam,Jonathan,Roy,,,Male,1982-12-31
urn:aph.gov.au:senators:KATYGALLAGHER,Senator,,Gallagher,Katy,Ruth,,,Female,1970-03-18
urn:aph.gov.au:senators:KIMBERLEYKITCHING,Senator,,Kitching,Kimberley,,,,Male,1970-02-16
urn:aph.gov.au:senators:LARISSAWATERS,Senator,,Waters,Larissa,Joy,,,Female,1977-02-08
urn:aph.gov.au:senators:LEERHIANNON,Senator,,Rhiannon,Lee,,,,Female,1951-05-30
urn:aph.gov.au:senators:LOUISEPRATT,Senator,,Pratt,Louise,Clare,,,Female,1972-04-18
urn:aph.gov.au:senators:MALARNDIRRIMCCARTHY,Senator,,McCarthy,Malarndirri,,,,Female,1905-05-23
urn:aph.gov.au:senators:MALCOLMROBERTS,Senator,,Roberts,Malcolm,Ieuan,,,Male,1955-05-03
urn:aph.gov.au:senators:MURRAYWATT,Senator,,Watt,Murray,,,,Male,1973-01-20
urn:aph.gov.au:senators:NICHOLASMCKIM,Senator,,McKim,Nicholas,James,,,Male,1965-05-11
urn:aph.gov.au:senators:NICHOLASXENOPHON,Senator,,Xenophon,Nicholas,,,,Male,1959-01-29
urn:aph.gov.au:senators:PATRICKDODSON,Senator,,Dodson,Patrick,Lionel Djargun,,,Male,1948-01-29
urn:aph.gov.au:senators:PAULINEHANSON,Senator,,Hanson,Pauline,Lee,,,Female,1954-05-27
urn:aph.gov.au:senators:PETERWHISH-WILSON,Senator,,Whish-Wilson,Peter,Stuart,,,Male,1968-02-24
urn:aph.gov.au:senators:RACHELSIEWERT,Senator,,Siewert,Rachel,Mary,,,Female,1961-11-04
urn:aph.gov.au:senators:RICHARDDINATALE,Senator,,DiNatale,Richard,,,,Male,1970-06-06
urn:aph.gov.au:senators:SAMDASTYARI,Senator,,Dastyari,Sam,,,,Male,1983-07-28
urn:aph.gov.au:senators:SARAHHANSON-YOUNG,Senator,,Hanson-Young,Sarah,Coral,,,Female,1981-12-23
urn:aph.gov.au:senators:SCOTTLUDLAM,Senator,,Ludlam,Scott,,,,Male,1970-01-10
urn:aph.gov.au:senators:SEANEDWARDS,Senator,,Edwards,Sean,Christopher,,,Male,1962-01-02
urn:aph.gov.au:senators:SKYEKAKOSCHKE-MOORE,Senator,,Kakoschke-Moore,Skye,,,,Female,1985-12-19
urn:aph.gov.au:senators:STEPHENPARRY,Senator,,Parry,Stephen,Shane,,,Male,1960-10-31
urn:aph.gov.au:senators:STIRLINGGRIFF,Senator,,Griff,Stirling,,,,Male,1957-12-02
urn:aph.gov.au:senators:SUELINES,Senator,,Lines,Sue,,,,Female,1953-12-15
urn:aph.gov.au:senators:ZEDSESELJA,Senator,,Seselja,Zed,,,,Male,1977-03-27
