id,Honorific,Salutation,Post Nominals,Surname,First Name,Other Name,Preferred Name,Initials,Gender,dateOfBirth
urn:aph.gov.au:memberofparl:JULIAN_SIMMONDS,Mr,Mr,MP,Simmonds,Julian,,Julian,J. ,Male,1985-08-29
urn:aph.gov.au:memberofparl:ANTHONY_SMITH,Hon,Mr,MP,Smith,Anthony,David Hawthorn,Tony,A. D. H.,Male,1967-03-13
urn:aph.gov.au:memberofparl:DAVID_SMITH,Mr,Mr,MP,Smith,David,Philip Benedict,David,D. P. B,Male,1970-03-25
urn:aph.gov.au:memberofparl:WARREN_SNOWDON,Hon,Mr,MP,Snowdon,Warren,Edward,,W. E.,Male,1950-03-20
urn:aph.gov.au:memberofparl:ANNE_STANLEY,Ms,Ms,MP,Stanley,Anne,Maree,Anne,A. M.,Female,1961-10-06
urn:aph.gov.au:memberofparl:ZALI_STEGGALL,Ms,Ms,MP OAM,Steggall,Zali,,Zali,Z. ,Female,1974-04-16
urn:aph.gov.au:memberofparl:JAMES_STEVENS,Mr,Mr,MP,Stevens,James,,James,J. ,Male,1983-03-27
urn:aph.gov.au:memberofparl:MICHAEL_SUKKAR,Hon,Mr,MP,Sukkar,Michael,Sven,Michael,M. S.,Male,1981-09-11
urn:aph.gov.au:memberofparl:MERYL_SWANSON,Ms,Ms,MP,Swanson,Meryl,Jane,,M. J.,Female,1970-09-03
urn:aph.gov.au:memberofparl:ANGUS_TAYLOR,Hon,Mr,MP,Taylor,Angus,James,Angus,A. J.,Male,1966-09-30
urn:aph.gov.au:memberofparl:DANIEL_TEHAN,Hon,Mr,MP,Tehan,Daniel,Thomas,Dan,D. T.,Male,1968-01-27
urn:aph.gov.au:memberofparl:SUSAN_TEMPLEMAN,Ms,Ms,MP,Templeman,Susan,Raye,Susan,S. R.,Female,1963-07-30
urn:aph.gov.au:memberofparl:MATTHEW_THISTLETHWAITE,Hon,Mr,MP,Thistlethwaite,Matthew,James,Matt,M. J.,Male,1972-09-06
urn:aph.gov.au:memberofparl:PHILLIP_THOMPSON,Mr,Mr,OAM MP,Thompson,Phillip,,Phillip,P. ,Male,1988-05-07
urn:aph.gov.au:memberofparl:KATE_THWAITES,Ms,Ms,MP,Thwaites,Kate,Lynne,Kate,K. L.,Female,1980-01-19
urn:aph.gov.au:memberofparl:ALAN_TUDGE,Hon,Mr,MP,Tudge,Alan,Edward,Alan,A. E.,Male,1971-02-24
urn:aph.gov.au:memberofparl:MARIA_VAMVAKINOU,Ms,Ms,MP,Vamvakinou,Maria,,,M.,Female,1959-01-04
urn:aph.gov.au:memberofparl:ALBERTUS_VAN MANEN,Mr,Mr,MP,van Manen,Albertus,Johannes,Bert,A. J.,Male,1965-03-24
urn:aph.gov.au:memberofparl:ROSS_VASTA,Mr,Mr,MP,Vasta,Ross,Xavier,Ross,R. X.,Male,1966-10-08
urn:aph.gov.au:memberofparl:ANDREW_WALLACE,Mr,Mr,MP,Wallace,Andrew,Bruce,Andrew,A. B.,Male,1968-04-23
urn:aph.gov.au:memberofparl:TIMOTHY_WATTS,Mr,Mr,MP,Watts,Timothy,Graham,Tim,T. G.,Male,1982-06-08
urn:aph.gov.au:memberofparl:ANNE_WEBSTER,Dr,Dr,MP,Webster,Anne,Elizabeth,Anne,A. E.,Female,1959-05-19
urn:aph.gov.au:memberofparl:ANIKA_WELLS,Ms,Ms,MP,Wells,Anika,Shay,Anika,A. S.,Female,1985-08-11
urn:aph.gov.au:memberofparl:LUCY_WICKS,Mrs,Mrs,MP,Wicks,Lucy,Elizabeth,,L. E.,Female,1973-01-01
urn:aph.gov.au:memberofparl:ANDREW_WILKIE,Mr,Mr,MP,Wilkie,Andrew,Damien,Andrew,A. D.,Male,1961-11-11
urn:aph.gov.au:memberofparl:JOSHUA_WILSON,Mr,Mr,MP,Wilson,Joshua,Hamilton,Josh,J. H.,Male,1972-06-05
urn:aph.gov.au:memberofparl:RICHARD_WILSON,Mr,Mr,MP,Wilson,Richard,James,Rick,R. J.,Male,1966-01-02
urn:aph.gov.au:memberofparl:TIMOTHY_WILSON,Mr,Mr,MP,Wilson,Timothy,Robert,Tim,T. R.,Male,1980-03-12
urn:aph.gov.au:memberofparl:JASON_WOOD,Hon,Mr,MP,Wood,Jason,Peter,Jason,J. P.,Male,1968-05-24
urn:aph.gov.au:memberofparl:KENNETH_WYATT,Hon,Mr,AM MP,Wyatt,Kenneth,George,Ken,K. G.,Male,1952-08-04
urn:aph.gov.au:memberofparl:TERRY_YOUNG,Mr,Mr,MP,Young,Terry,James,Terry,T. J.,Male,1968-02-20
urn:aph.gov.au:memberofparl:ANTONIO_ZAPPIA,Mr,Mr,MP,Zappia,Antonio,,Tony,A.,Male,1952-06-13
urn:aph.gov.au:memberofparl:TRENT_ZIMMERMAN,Mr,Mr,MP,Zimmerman,Trent,Moir,Trent,T. M.,Male,1968-10-15
