ParentOrganisation.ABN,ParentOrganisation.LegalName,ABN,LegalName,ClientNotes
31626366452,Puzzle Consulting Pty Ltd,,Artgold,
31626366452,Puzzle Consulting Pty Ltd,,Artgold,
14007098295,Starfare Image Pty Ltd,,Asaleo Care,
76615655699,Nexus APAC Pty Ltd,64008605034,ASC Pty Ltd,
26098280892,Comsult(Aust) Pty Ltd,,AsiaSpace Ltd,
56054857698,MR DARYL GORDON PILMORE,,Aspen Australia,
76615655699,Nexus APAC Pty Ltd,32105250413,Aspen Medical Pty Ltd,
32105250413,The Strategic Counsel,,Aspen Medical Pty Ltd,
34837287161,Kirchmann Management Consultants Pty Ltd,,Aspen Pharma Pty Ltd,
70737580108,Daymark Public Relations Pty Ltd,44624001645,Assemble Communities Pty Ltd,https://assemblecommunities.com/
65140067287,"Barton Deakin ",90074746160,Assistance Dogs Australia Ltd,
58101934454,Crosby Textor Research Strategies Results Pty Ltd,34004341048,Associated Kiln Driers Pty Ltd,
63272133108,The Trustee for Arthur Trust,17417097078,"Association of Australian Convention Bureaux ",
35631919009,Counsel House Pty Ltd,29008619921,Association of Financial Advisers Ltd,
92715851492,Chikarovski & Associates Pty Ltd,,Association of Financial Advisers Ltd,
79109681405,Hawker Britton Group Pty Ltd,,Association of Independent Schools of New South Wales Ltd,
73137508555,The Premier Communications Group Pty Ltd.,,Associazione Sportivo Australia (ASA),
73137508555,The Premier Communications Group Pty Ltd.,,Associazione Sportivo Australia (ASA),
89096965794,opr Agency,,Astellas Pharma Australia,
34628814728,Jeanes Holland and Associates Pty Ltd,73624815032,Asterion (Australia) Pty Ltd,http://asterioncannabis.com
73145352147,London Agency Pty Ltd,,Asthma Australia,
89096965794,opr Agency,,AstraZeneca,
91338850428,M.J STEVENS & P WONG,50007050197,ASYS COMPUTER CONSULTING PTY. LTD.,
29138717272,Momentum Strategic Communication Services,24626893310,Athena Home Loans,
13159060561,Megan Anwyl,,Atlas Iron Ltd,
65140067287,"Barton Deakin ",,Atlassian,
93354249142,The Trustee for ECG Advisory Trust,,Auctioneers and Valuers Association of Australia (Incorporated),
70543558011,Brent William Knevett,,Aura Information Security,
63103178258,Res Publica Pty Ltd,,"AusFilm ",
92715851492,Chikarovski & Associates Pty Ltd,,AUSMEDIA PTY LTD,
46071979461,FTI Consulting (Perth) Pty Ltd,,Austal Limited,
99153936719,"Cornerstone Group Australia Pty Ltd ",,Australasian College of Cosmetic Surgery,
99153936719,"Cornerstone Group Australia Pty Ltd ",,Australasian College of Cosmetic Surgery,
33425786517,Leonie M. Short,90142386883,"Australasian Council of Dental Schools ",
20098705403,Australian Public Affairs Limited Partnership,,Australasian Society of Aesthetic Plastic Surgeons,
69626524178,Unravelling Red Tape Pty Ltd,,Australasian Society of Medical Perfusion,
29145634224,Jo Scard Pty Ltd,,Australasian Sonographers Association 64 991 983 051,
95164204111,Etched Communications,30533237653,Australia and China Economics Trade and Culture Association incorporated,
21131482230,Sanlaan Pty Ltd,,Australia and New Zealand Driverless Vehicle Initiative,
89096965794,opr Agency,,Australia and New Zealand Recycling Platform Limited,
65140067287,"Barton Deakin ",,"Australia Health Tourism Pty Ltd ",
78729712484,The Civic Group Holdings Pty Ltd and Highchair Pty Ltd,,Australia India Chamber,
98760171792,The Holland Trust,,Australia Israel Labor Dialogue,
93354249142,The Trustee for ECG Advisory Trust,,Australia Pacific Airports Corporation Ltd,
38162366056,Newgate Communications Pty Limited,,Australia Post,
51364113263,Cotterell Jannette Suzanne,,Australia Sino Agriculture 100 years Agriculture and Food Safety Partnership,
29145634224,Jo Scard Pty Ltd,,"Australian Academy of Science ABN 90 700 613 342 ",
52169196061,Molico Pty. Ltd.,,Australian Aerospace Corporation Pty Ltd,
67151951250,"LATAF CONSULTING ",,Australian African Minerals and Energy Group,
51364113263,Cotterell Jannette Suzanne,,Australian Aged Care Association,
59954528757,The Canberra Institute,,Australian Agricultural Resources,
65140067287,"Barton Deakin ",89008647336,Australian Airports Association Ltd,
51364113263,Cotterell Jannette Suzanne,,Australian and International Pilots' Association,
98760171792,The Holland Trust,,Australian Antarctic Festival,
19133444041,Vanguard Consulting and Services Pty Ltd,,Australian Army Training Team Vietnam (AATTV) Association,
63103178258,Res Publica Pty Ltd,,Australian Association of National Advertisers (AANA),
89096965794,opr Agency,,Australian Association of Pathology Practices,
71595434578,PRX Unit Trust,93008576010,"AUSTRALIAN ASSOCIATION OF SOCIAL WORKERS LIMITED ",https://www.aasw.asn.au
76615655699,Nexus APAC Pty Ltd,80694701458,Australian Automobile Dealer Association,
99153936719,"Cornerstone Group Australia Pty Ltd ",,"Australian Best Choice Pty Ltd ",
89096965794,opr Agency,,Australian Beverages Council,
89096965794,opr Agency,,Australian Beverages Council,
62621984923,Brickfielder Government Engagement,41003908183,Australian Brandenburg Orchestra,
91133062012,Sports Hydrant Pty Ltd,,Australian British Chamber of Commerce,
71619450841,PremierNational Pty Ltd,,Australian CFD & FX Association Ltd,
29145634224,Jo Scard Pty Ltd,,Australian Charities Fund ABN 86 011 282 468,
51364113263,Cotterell Jannette Suzanne,,Australian Childcare Alliance,
11631657282,Peak Lawyers Pty Ltd,,Australian Chinese Chamber of Commerce,
58621635336,Times Lawyers Pty Ltd,,Australian Chinese General Chamber of Business,
11631657282,Peak Lawyers Pty Ltd,19701629788,Australian Chinese General Chamber of Business Inc,
89096965794,opr Agency,50050096038,Australian Chiropractors Association,
54633570549,Chris Drummer,,"Australian College of Nursing ",
20126507211,Richardson Coutts,,Australian Communications Exchange,
48074671462,Essential Media Communications,,Australian Conservation Foundation,
99153936719,"Cornerstone Group Australia Pty Ltd ",,"Australian Consulting Architects Pty Ltd ",
99153936719,"Cornerstone Group Australia Pty Ltd ",,"Australian Consulting Architects Pty Ltd ",
59094134111,Zennex Pty Ltd,,"Australian Council for Private Education and Training ",
33425786517,Leonie M. Short,72757927533,Australian Council of Social Service,"https://www.acoss.org.au/
"
28088863852,Day & Hodge Associates Pty Ltd,,Australian Cycling Promotion Foundation Limited,
95164204111,Etched Communications,76060549653,Australian Dairy Farmers,www.australiandairyfarmers.com.au
47139102891,CPI Strategic Pty Ltd,,Australian Deer Association,
33425786517,Leonie M. Short,71674573247,Australian Dental and Oral Health Therapists' Association Inc,https://www.adohta.net.au/
27143938523,Policy Australia Pty Ltd,,Australian Digital Alliance,
83615178571,Lunik Pty Ltd,63169053534,Australian Digital Commerce Association Ltd,
45631309923,Eloquium Group Pty Ltd,,Australian Digital Inclusion Alliance,https://www.digitalinclusion.org.au/
38162366056,Newgate Communications Pty Limited,35167460586,Australian Duty Free,
48074671462,Essential Media Communications,,Australian Education Union Federal,
65140067287,"Barton Deakin ",82622866719,Australian Electric Car Manufacturing Pty Ltd,
79109681405,Hawker Britton Group Pty Ltd,,Australian Energy Council,
71619450841,PremierNational Pty Ltd,92608495307,Australian Energy Council Limited,
60093621455,SPIER CONSULTING P/L,,AUSTRALIAN FEDERATION OFV TRAVEL AGENTS,
93354249142,The Trustee for ECG Advisory Trust,,Australian Finance Group,
55097768799,CreditWise Pty Ltd,,Australian Finance Industry Assocation,
20018352673,The Hon. Robert Charles Baldwin,,Australian Fishing Trade Association (AFTA),
62621984923,Brickfielder Government Engagement,,Australian Flower Traders Association,
66163887885,Global Issues Group,,Australian Food Cold Chain Council,
61982432138,Leisure Solutions,,Australian Geoscience Council,
78729712484,The Civic Group Holdings Pty Ltd and Highchair Pty Ltd,,Australian Golf Industry Council,
78729712484,The Civic Group Holdings Pty Ltd and Highchair Pty Ltd,,Australian Golf Industry Council,
71595434578,PRX Unit Trust,85623383880,Australian Graphene Industry Association Ltd,https://grapheneindustry.org.au
51364113263,Cotterell Jannette Suzanne,,Australian Health Research Alliance,
65140067287,"Barton Deakin ",,Australian Heavy Vehicle Repair Association,
74085739046,Fowlstone Communications,,Australian Home Child Care Association,
71105001081,Bush Consulting Services Pty Ltd,,Australian Home Entertainment Distributors Association,
71105001081,Bush Consulting Services Pty Ltd,,Australian Home Entertainment Distributors Association,
71619450841,PremierNational Pty Ltd,64243628807,Australian Hotels Association (NSW),
26149964189,Premier State Consulting Pty Ltd,64243628807,Australian Hotels Association (NSW),
26726483358,Ascend Strategic Counsel Pty Ltd,98862275106,"Australian Imported Motor Vehicle Industry Association ","Jack Sandher President AIMVIA
0404831886"
29145634224,Jo Scard Pty Ltd,,Australian Indigenous Leadership Centre,
60093621455,SPIER CONSULTING P/L,,AUSTRALIAN INSTITUTE OF QUANTITY SURVEYORS,
89096965794,opr Agency,,AUSTRALIAN INTERNATIONAL MILITARY GAMES,
59160523384,Freight  Trade Alliance (FTA) Pty Ltd,,Australian International Movers Association,
38162366056,Newgate Communications Pty Limited,,Australian Investment Council Ltd,
24613884763,Strategic Political Counsel Pty Ltd,,Australian Lotteries and Newsagents Association,
81623654839,Coode Holdings Pty Ltd,,Australian Lotteries and Newsagents Association,
50445644019,Gambaro Consulting Group,,Australian Lymphology Association,
51364113263,Cotterell Jannette Suzanne,,Australian Marine Conservation Society,
55600755137,Open Spectrum Pty Ltd,98065814315,Australian Mobile Telecommunications Association,
60093621455,SPIER CONSULTING P/L,,AUSTRALIAN NEWSAGENTS FEDERATION,
73137508555,The Premier Communications Group Pty Ltd.,,"Australian Nursing and Midwifery Federation ",
56131702755,GRA Partners Pty Ltd,27627838215,"Australian Owned Contractors Limited ",
65140067287,"Barton Deakin ",,"Australian Packaging Covenant Organisation Ltd ",
39098650241,John O'Connor and Associates Pty Ltd,,Australian Paper Pty Ltd,
73145352147,London Agency Pty Ltd,,Australian Pathology,
76615655699,Nexus APAC Pty Ltd,41052527634,Australian Pathology,
28613329472,Advisory Street Pty Ltd,,Australian Payments Network,
59160523384,Freight  Trade Alliance (FTA) Pty Ltd,20947496918,Australian Peak Shippers Association,
65791217178,Helen & Mike O'Brien JP,,Australian Pensioners & Superannuants League WA Inc,
32105250413,The Strategic Counsel,,Australian Pharmaceutical Industries Ltd,
65140067287,"Barton Deakin ",89004265150,"Australian Physiotherapy Association ",https://australian.physio/
89096965794,opr Agency,,Australian Pompe Association,
29626157015,Shaw Advisory Pty Ltd,13383369929,Australian Press Council,
90604408826,TSB Advisory Pty Ltd,,Australian Primary Principals Association,
38162366056,Newgate Communications Pty Limited,,Australian Private Equity  Venture Capital Association Limited,
51364113263,Cotterell Jannette Suzanne,,Australian Private Hospitals Association,
90158415920,Staindl Strategic Pty Ltd,,Australian Psychological Society,
65140067287,"Barton Deakin ",,Australian Psychological Society,
23630677673,TG Endeavour Pty Ltd,,"Australian Retailers Association ",
71105001081,Bush Consulting Services Pty Ltd,,Australian Screen Association,
98134890337,Michelson Alexander Consulting,,"Australian Securities Exchange ",
29145634224,Jo Scard Pty Ltd,,Australian Self Medication Industry (ASMI) 55082798952,
29145634224,Jo Scard Pty Ltd,,"Australian Self Medication Industry Limited ABN 55 082 798 952 ",
51364113263,Cotterell Jannette Suzanne,,Australian Sleep Association,
19133444041,Vanguard Consulting and Services Pty Ltd,,Australian Society of Ophthalmologists (ASO),
79157510884,Catherine McGovern,,Australian Society of Plastic Surgeons,
34628814728,Jeanes Holland and Associates Pty Ltd,59141480284,Australian Solar Group Pty Ltd,http://australiansolargroup.com/
49622979177,"Media and Public Affairs ",,Australian Sportsd Technology Network,
27613857668,Next Level Strategic Services Pty Ltd,,Australian Super,
47609028015,Insight Strategy Pty Ltd,,Australian Timeshare and Holiday Ownership Council,
91167042408,Royce Communications Pty Ltd,,Australian Tourism Industry Council,
46071979461,FTI Consulting (Perth) Pty Ltd,,Australian Vanadium Limited,
78605668344,Beltway Government Relations Pty Ltd,,Australian Vaping Advocacy Trade and Research Organisation,
50082123822,GRACosway Pty Ltd,36068572556,Australian Wildlife Conservancy,https://www.australianwildlife.org/
48074671462,Essential Media Communications,,Australians for Mental Health,
98134890337,Michelson Alexander Consulting,,Australians For Mental Health,
92715851492,Chikarovski & Associates Pty Ltd,,Australis 2020,
59651725642,Lindsay Tanner,,Australlian Unity,
59651725642,Lindsay Tanner,,Australlian Unity,
91631938317,Wells OCallaghan Watterson Pty Ltd,,Avaya Australia Pty Ltd,
56131702755,GRA Partners Pty Ltd,70077897440,"AWE Limited ",
24613884763,Strategic Political Counsel Pty Ltd,89123563208,B. Braun Avitum Australia P/L,"http://www.bbraun.com.au/ "
56136912260,Equilibrium OMG Pty Ltd,24622283130,"Back Again Recycling ",
50082123822,GRACosway Pty Ltd,,BAI Communications,
50082123822,GRACosway Pty Ltd,,BAI Communications Australia,
94064357544,CPR Communications & Public Relations Pty Ltd,,Baker Heart and Diabetes Institute,
17148998645,Diplomacy Pty Limited,56812683925,Balibo House Incorporated,www.balibohouse.com/
28613329472,Advisory Street Pty Ltd,,Bank of Queensland,
79109681405,Hawker Britton Group Pty Ltd,,Bankwest,
,Cultural Consulting,,Bapak Ian Siagian Australian Representative for the Indonesian Democratic Party of Struggle (PDIP),
93156511607,C2hills Investments Pty Limited,77336881946,Barellan Aged Care Support Group,
36617864347,Primary Communication Partners,,Barnardos Australia,
91167042408,Royce Communications Pty Ltd,,Basslink,
65140067287,"Barton Deakin ",,"Baulderstone Consulting Services Pty Ltd ",
51364113263,Cotterell Jannette Suzanne,,Baxalta Australia Pty Ltd,
76615655699,Nexus APAC Pty Ltd,22000138714,Bayer Australia Limited,
51364113263,Cotterell Jannette Suzanne,,Bayer Pharmaceuticals,
79109681405,Hawker Britton Group Pty Ltd,,BBI Group,
39098650241,John O'Connor and Associates Pty Ltd,,BBRG Australia Pty Ltd,
38162366056,Newgate Communications Pty Limited,62629999533,BEAM MOBILITY AUSTRALIA PTY LTD,
98760171792,The Holland Trust,,Beam Suntory Australia,
63103178258,Res Publica Pty Ltd,,Beechworth Honey,
87145965466,Sling & Stone,16613066541,BEHAVIOURAL INSIGHTS (AUSTRALIA) PTY LTD,
21131482230,Sanlaan Pty Ltd,,Beijing Jingneng Clean Energy(Australia) Holding Pty Ltd,
71619450841,PremierNational Pty Ltd,37154478725,BEINFORMED GROUP PTY LTD,
26149964189,Premier State Consulting Pty Ltd,35154478725,BEINFORMED GROUP PTY LTD,
36617864347,Primary Communication Partners,,Belinda Mason Photography,
89096965794,opr Agency,,Bell Shakespeare,
86231566780,The Trustee for Bespoke Business Trust,11125461903,Bellamy’s Organic Pty Limited,
20126507211,Richardson Coutts,,Bengalla Mining Company,
71595434578,PRX Unit Trust,79133923074,BENJAMIN DUNCAN AVIATION PTY LTD,
73137508555,The Premier Communications Group Pty Ltd.,,"Bespoke Medical Innovations ",
63272133108,The Trustee for Arthur Trust,67736818084,bet365 Group Limited,
27613857668,Next Level Strategic Services Pty Ltd,80602022435,Better Rehabilitation,
45517839200,McGuinness Media,15087651143,Beyond Bank Australia,
89096965794,opr Agency,,Beyond Blue,
50082123822,GRACosway Pty Ltd,49004028077,"BHP Billiton Group ",https://www.bhp.com/
56131702755,GRA Partners Pty Ltd,46008700981,"BHP Billiton Iron Ore Pty Ltd ",
28088863852,Day & Hodge Associates Pty Ltd,,Bicycle Industries Australia,
25102956990,Lawrence Media Services Pty Ltd,,Big Picture Vision Pty Ltd,
87145965466,Sling & Stone,70107422631,BIGCOMMERCE PTY LTD,https://www.bigcommerce.com
65140067287,"Barton Deakin ",,Bingo Industries Pty Ltd,
72688652639,John Fetter Group Pty Ltd,,Bio Nexus Pty Ltd,
51364113263,Cotterell Jannette Suzanne,,BioCSL Pty Ltd,
91431104249,The Trustee for Markeit Family Trust,,BioFilm Solutions Pty Ltd,
89096965794,opr Agency,93615031984,Biogen,
50082123822,GRACosway Pty Ltd,,Biogen Australia Pty Ltd,
89096965794,opr Agency,,Biomarin,
26614088881,Christmas Jalili Pty Ltd,63628452399,Bird Rides Australia Pty Ltd,https://www.bird.co
62141983324,ED & Associates Pty Ltd,,Birks Blair Athol Pharmacy Pty Ltd,
91631938317,Wells OCallaghan Watterson Pty Ltd,,BIS Oxford Economics,
39098650241,John O'Connor and Associates Pty Ltd,,Bisalloy Steel Group Limited,
23630677673,TG Endeavour Pty Ltd,,"BlackBerry ",
65140067287,"Barton Deakin ",49604167651,Blackstone Real Estate Australia,https://www.blackstone.com/the-firm/asset-management/real-estate
52159456685,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS PTY. LTD.,,Blacktown City Council,
52159456685,WELLS HASLEM MAYHEW STRATEGIC PUBLIC AFFAIRS PTY. LTD.,,Blacktown City Council,
26614088881,Christmas Jalili Pty Ltd,63169053534,Blockchain Australia Ltd,https://blockchainaustralia.org
59344821734,Ranicar and Nicholls Consulting,,Blue Glue Pty Ltd,
71595434578,PRX Unit Trust,81604985533,BLUE HOPE SUPPORT SERVICES LIMITED,http://www.bluehope.org.au/
91631938317,Wells OCallaghan Watterson Pty Ltd,72128857394,BlueAnt,http://blueant.com.au/
65619296552,Origami PR Pty Ltd,,"Bluearth Foundation ",
36617864347,Primary Communication Partners,31137691448,Blueprint Group Australia Pty Ltd,
39098650241,John O'Connor and Associates Pty Ltd,,BlueScope Steel Limited,
19672612619,The Trustee for Sandra Eccles Family Trust,16000011058,BlueScope Steel Limited,
59344821734,Ranicar and Nicholls Consulting,,BlueZone Group,
83615178571,Lunik Pty Ltd,,BMT Group Australia,
61007024046,Dan Cass,,Bob Brown Foundation,
36617864347,Primary Communication Partners,,BOC Limited,
36617864347,Primary Communication Partners,,BOC South Pacific,
91133062012,Sports Hydrant Pty Ltd,,Bod Australia Ltd,
37030229072,Geoff Conlon,,Boggabilla Mob,An unincorporated association
76615655699,Nexus APAC Pty Ltd,,Booking.com,
17148998645,Diplomacy Pty Limited,,Borough of Queenscliffe,
90116598924,Statecraft,,Bouygues Construction Australia,
